account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
1,20000,2,2,1,24,689,0,-1,1
2,120000,2,2,2,26,12670,4000,0,1
3,90000,2,2,2,34,58387,8000,0,0
4,50000,2,2,1,37,136111,4369,0,0
5,50000,1,2,1,57,95052,20368,-1,0
6,50000,1,1,2,37,116645,3457,0,0
7,500000,1,1,2,29,1944607,85759,0,0
8,100000,2,2,2,23,1230,3810,-1,0
9,140000,2,3,1,28,39831,3432,2,0
10,20000,1,3,2,35,26919,14129,-2,0
11,200000,2,3,2,34,13607,4154,2,0
12,260000,2,1,2,51,54438,34524,-1,0
13,630000,2,2,2,41,22370,15870,-1,0
14,70000,1,2,2,30,205514,7500,2,1
15,250000,1,1,2,29,235644,12000,0,0
16,50000,2,3,3,23,116629,4700,0,0
17,20000,1,1,2,24,72775,3150,2,1
18,320000,1,1,1,49,466192,341539,0,0
19,360000,2,1,1,49,0,0,-2,0
20,180000,2,1,2,29,0,0,-2,0
21,130000,2,3,2,39,57837,37694,0,0
22,120000,2,2,1,39,1264,948,-1,1
23,70000,2,2,2,26,181943,5421,0,1
24,450000,2,1,1,40,2033,1688,-2,1
25,90000,1,1,2,23,20050,10643,0,0
26,50000,1,3,2,23,124865,4492,0,0
27,60000,1,1,2,27,140,1500,-1,1
28,50000,2,3,2,30,73589,4512,0,0
29,50000,2,3,1,47,36143,32731,-1,0
30,50000,1,1,2,26,65178,3600,0,0
31,230000,2,1,2,27,79835,66938,-1,0
32,50000,1,2,2,33,91733,3716,0,1
33,100000,1,1,2,32,318130,12210,0,0
34,500000,2,2,1,54,110663,131523,-2,0
35,500000,1,1,1,58,39603,9241,-2,0
36,160000,1,1,2,30,-4822,1753,-2,0
37,280000,1,2,1,40,702146,25837,0,0
38,60000,2,2,2,22,7419,50331,0,0
39,50000,1,1,2,25,0,0,-1,1
40,280000,1,1,2,31,42070,28282,2,0
41,360000,1,1,2,33,1210787,226840,0,0
42,70000,2,1,2,25,258336,11842,0,0
43,10000,1,2,2,22,17700,2800,0,0
44,140000,2,2,1,37,264086,14000,0,0
45,40000,2,1,2,30,106963,5000,0,0
46,210000,1,1,2,29,0,0,-2,1
47,20000,2,1,2,22,48816,17075,2,1
48,150000,2,5,2,46,2340,0,-1,1
49,380000,1,2,2,32,70874,56654,-1,0
50,20000,1,1,2,24,79884,3613,0,0
51,70000,1,3,2,42,155799,5000,2,1
52,100000,2,3,3,43,152463,6000,0,0
53,310000,2,2,1,49,22793,15193,-2,0
54,180000,2,1,2,25,176007,6936,0,0
55,150000,2,1,2,29,95534,9549,0,0
56,500000,2,1,1,45,2843,2681,-2,0
57,180000,2,3,1,34,23225,19179,0,0
58,180000,2,2,1,34,603036,18683,0,0
59,200000,2,1,2,34,4062,1900,2,0
60,400000,2,2,1,29,1485149,77000,0,0
61,500000,2,3,1,28,63213,6000,0,1
62,70000,1,2,1,39,101382,6000,0,0
63,50000,1,1,2,29,108387,3425,2,1
64,50000,2,2,1,46,0,0,0,1
65,130000,2,2,1,51,2353,2353,-2,0
66,200000,1,1,1,57,168366,9522,-2,1
67,10000,1,2,1,56,16562,710,2,1
68,210000,2,1,2,30,7989,7739,-1,0
69,130000,2,3,2,29,17941,41379,-2,0
70,20000,1,5,2,22,52557,2500,0,0
71,80000,1,1,2,31,1560,1560,-1,0
72,320000,1,2,2,29,244639,8800,2,1
