tid,account,amount,date,type
1,1,3102,2005-08-14,exp
2,2,1725,2005-08-14,exp
3,3,14027,2005-08-14,exp
4,4,48233,2005-08-14,exp
5,5,5670,2005-08-14,exp
6,6,57069,2005-08-14,exp
7,7,412023,2005-08-14,exp
8,8,380,2005-08-14,exp
9,9,14096,2005-08-14,exp
10,10,0,2005-08-14,exp
11,11,9787,2005-08-14,exp
12,12,21670,2005-08-14,exp
13,13,6500,2005-08-14,exp
14,14,67369,2005-08-14,exp
15,15,67060,2005-08-14,exp
16,16,29173,2005-08-14,exp
17,17,18010,2005-08-14,exp
18,18,246536,2005-08-14,exp
19,19,0,2005-08-14,exp
20,20,0,2005-08-14,exp
21,21,27688,2005-08-14,exp
22,22,316,2005-08-14,exp
23,23,42445,2005-08-14,exp
24,24,19420,2005-08-14,exp
25,25,7070,2005-08-14,exp
26,26,41810,2005-08-14,exp
27,27,-425,2005-08-14,exp
28,28,16138,2005-08-14,exp
29,29,3415,2005-08-14,exp
30,30,16575,2005-08-14,exp
31,31,17265,2005-08-14,exp
32,32,29618,2005-08-14,exp
33,33,84071,2005-08-14,exp
34,34,4152,2005-08-14,exp
35,35,5006,2005-08-14,exp
36,36,-131,2005-08-14,exp
37,37,181328,2005-08-14,exp
38,38,9806,2005-08-14,exp
39,39,780,2005-08-14,exp
40,40,9075,2005-08-14,exp
41,41,221296,2005-08-14,exp
42,42,66999,2005-08-14,exp
43,43,3184,2005-08-14,exp
44,44,61544,2005-08-14,exp
45,45,21295,2005-08-14,exp
46,46,0,2005-08-14,exp
47,47,16484,2005-08-14,exp
48,48,3034,2005-08-14,exp
49,49,21540,2005-08-14,exp
50,50,18479,2005-08-14,exp
51,51,36171,2005-08-14,exp
52,52,51163,2005-08-14,exp
53,53,7867,2005-08-14,exp
54,54,41742,2005-08-14,exp
55,55,34993,2005-08-14,exp
56,56,3640,2005-08-14,exp
57,57,15793,2005-08-14,exp
58,58,173440,2005-08-14,exp
59,59,1098,2005-08-14,exp
60,60,398857,2005-08-14,exp
61,61,23638,2005-08-14,exp
62,62,72060,2005-08-14,exp
63,63,24300,2005-08-14,exp
64,64,29166,2005-08-14,exp
65,65,0,2005-08-14,exp
66,66,148751,2005-08-14,exp
67,67,4193,2005-08-14,exp
68,68,300,2005-08-14,exp
69,69,-9850,2005-08-14,exp
70,70,17204,2005-08-14,exp
71,71,0,2005-08-14,exp
72,72,59246,2005-08-14,exp
73,73,5787,2005-08-14,exp
74,74,0,2005-08-14,exp
75,75,5550,2005-08-14,exp
76,76,17216,2005-08-14,exp
77,77,37225,2005-08-14,exp
78,78,291,2005-08-14,exp
79,79,29612,2005-08-14,exp
80,80,0,2005-08-14,exp
81,81,157784,2005-08-14,exp
82,82,27796,2005-08-14,exp
83,83,27471,2005-08-14,exp
84,84,139060,2005-08-14,exp
85,85,47863,2005-08-14,exp
86,86,107808,2005-08-14,exp
87,87,1170,2005-08-14,exp
88,88,4751,2005-08-14,exp
89,89,117866,2005-08-14,exp
90,90,8303,2005-08-14,exp
91,91,140774,2005-08-14,exp
92,92,0,2005-08-14,exp
93,93,5555,2005-08-14,exp
94,94,1602,2005-08-14,exp
95,95,46850,2005-08-14,exp
96,96,85996,2005-08-14,exp
97,97,8322,2005-08-14,exp
98,98,86108,2005-08-14,exp
99,99,18160,2005-08-14,exp
100,100,19367,2005-08-14,exp
101,101,10212,2005-08-14,exp
102,102,-303,2005-08-14,exp
103,103,431342,2005-08-14,exp
104,104,42254,2005-08-14,exp
105,105,55208,2005-08-14,exp
106,106,0,2005-08-14,exp
107,107,2861,2005-08-14,exp
108,108,2272,2005-08-14,exp
109,109,178382,2005-08-14,exp
110,110,-103,2005-08-14,exp
111,111,108431,2005-08-14,exp
112,112,14722,2005-08-14,exp
113,113,138532,2005-08-14,exp
114,114,52692,2005-08-14,exp
115,115,19294,2005-08-14,exp
116,116,17618,2005-08-14,exp
117,117,326,2005-08-14,exp
118,118,15493,2005-08-14,exp
119,119,9666,2005-08-14,exp
120,120,51445,2005-08-14,exp
121,121,45976,2005-08-14,exp
122,122,0,2005-08-14,exp
123,123,0,2005-08-14,exp
124,124,311243,2005-08-14,exp
125,125,18962,2005-08-14,exp
126,126,0,2005-08-14,exp
127,127,99530,2005-08-14,exp
128,128,116422,2005-08-14,exp
129,129,3899,2005-08-14,exp
130,130,61450,2005-08-14,exp
131,131,5645,2005-08-14,exp
132,132,2622,2005-08-14,exp
133,133,247743,2005-08-14,exp
134,134,228719,2005-08-14,exp
135,135,26145,2005-08-14,exp
136,136,12035,2005-08-14,exp
137,137,19342,2005-08-14,exp
138,138,7997,2005-08-14,exp
139,139,300,2005-08-14,exp
140,140,50143,2005-08-14,exp
141,141,0,2005-08-14,exp
142,142,0,2005-08-14,exp
143,143,10833,2005-08-14,exp
144,144,10000,2005-08-14,exp
145,145,15586,2005-08-14,exp
146,146,5913,2005-08-14,exp
147,147,20313,2005-08-14,exp
148,148,176192,2005-08-14,exp
149,149,10522,2005-08-14,exp
150,150,-1100,2005-08-14,exp
151,151,78142,2005-08-14,exp
152,152,55744,2005-08-14,exp
153,153,2906,2005-08-14,exp
154,154,182350,2005-08-14,exp
155,155,10406,2005-08-14,exp
156,156,28049,2005-08-14,exp
157,157,102870,2005-08-14,exp
158,158,196143,2005-08-14,exp
159,159,122904,2005-08-14,exp
160,160,12362,2005-08-14,exp
161,161,27453,2005-08-14,exp
162,162,390,2005-08-14,exp
163,163,396,2005-08-14,exp
164,164,156858,2005-08-14,exp
165,165,23803,2005-08-14,exp
166,166,104795,2005-08-14,exp
167,167,15130,2005-08-14,exp
168,168,96847,2005-08-14,exp
169,169,73854,2005-08-14,exp
170,170,29092,2005-08-14,exp
171,171,33397,2005-08-14,exp
172,172,3280,2005-08-14,exp
173,173,15273,2005-08-14,exp
174,174,-709,2005-08-14,exp
175,175,0,2005-08-14,exp
176,176,65978,2005-08-14,exp
177,177,100,2005-08-14,exp
178,178,47801,2005-08-14,exp
179,179,12622,2005-08-14,exp
180,180,81811,2005-08-14,exp
181,181,26578,2005-08-14,exp
182,182,12412,2005-08-14,exp
183,183,110616,2005-08-14,exp
184,184,57891,2005-08-14,exp
185,185,11677,2005-08-14,exp
186,186,13961,2005-08-14,exp
187,187,57077,2005-08-14,exp
188,188,202947,2005-08-14,exp
189,189,5396,2005-08-14,exp
190,190,21087,2005-08-14,exp
191,191,62147,2005-08-14,exp
192,192,20347,2005-08-14,exp
193,193,199,2005-08-14,exp
194,194,22087,2005-08-14,exp
195,195,18114,2005-08-14,exp
196,196,37188,2005-08-14,exp
197,197,0,2005-08-14,exp
198,198,19446,2005-08-14,exp
199,199,138,2005-08-14,exp
200,200,29256,2005-08-14,exp
201,201,0,2005-08-14,exp
202,202,27299,2005-08-14,exp
203,203,18000,2005-08-14,exp
204,204,110578,2005-08-14,exp
205,205,231878,2005-08-14,exp
206,206,20351,2005-08-14,exp
207,207,1473,2005-08-14,exp
208,208,1586,2005-08-14,exp
209,209,81554,2005-08-14,exp
210,210,4337,2005-08-14,exp
211,211,108917,2005-08-14,exp
212,212,0,2005-08-14,exp
213,213,38901,2005-08-14,exp
214,214,28108,2005-08-14,exp
215,215,303320,2005-08-14,exp
216,216,390,2005-08-14,exp
217,217,-946,2005-08-14,exp
218,218,78501,2005-08-14,exp
219,219,84229,2005-08-14,exp
220,220,4542,2005-08-14,exp
221,221,115468,2005-08-14,exp
222,222,334954,2005-08-14,exp
223,223,297268,2005-08-14,exp
224,224,94037,2005-08-14,exp
225,225,51537,2005-08-14,exp
226,226,131199,2005-08-14,exp
227,227,2686,2005-08-14,exp
228,228,16511,2005-08-14,exp
229,229,48456,2005-08-14,exp
230,230,18165,2005-08-14,exp
231,231,35796,2005-08-14,exp
232,232,17132,2005-08-14,exp
233,233,0,2005-08-14,exp
234,234,131383,2005-08-14,exp
235,235,36367,2005-08-14,exp
236,236,3977,2005-08-14,exp
237,237,110050,2005-08-14,exp
238,238,0,2005-08-14,exp
239,239,231669,2005-08-14,exp
240,240,21708,2005-08-14,exp
241,241,20650,2005-08-14,exp
242,242,47974,2005-08-14,exp
243,243,27724,2005-08-14,exp
244,244,5853,2005-08-14,exp
245,245,215,2005-08-14,exp
246,246,20396,2005-08-14,exp
247,247,1631,2005-08-14,exp
248,248,34457,2005-08-14,exp
249,249,45781,2005-08-14,exp
250,250,15392,2005-08-14,exp
251,251,51486,2005-08-14,exp
252,252,29507,2005-08-14,exp
253,253,105246,2005-08-14,exp
254,254,47779,2005-08-14,exp
255,255,3719,2005-08-14,exp
256,256,28513,2005-08-14,exp
257,257,1233,2005-08-14,exp
258,258,2453,2005-08-14,exp
259,259,0,2005-08-14,exp
260,260,213522,2005-08-14,exp
261,261,99414,2005-08-14,exp
262,262,35100,2005-08-14,exp
263,263,4664,2005-08-14,exp
264,264,50815,2005-08-14,exp
265,265,249,2005-08-14,exp
266,266,0,2005-08-14,exp
267,267,7838,2005-08-14,exp
268,268,91362,2005-08-14,exp
269,269,34449,2005-08-14,exp
270,270,14880,2005-08-14,exp
271,271,31545,2005-08-14,exp
272,272,632,2005-08-14,exp
273,273,0,2005-08-14,exp
274,274,12852,2005-08-14,exp
275,275,0,2005-08-14,exp
276,276,69120,2005-08-14,exp
277,277,2715,2005-08-14,exp
278,278,316,2005-08-14,exp
279,279,50462,2005-08-14,exp
280,280,102594,2005-08-14,exp
