tid,account,amount,date,type
1,1,3913,2005-09-14,exp
2,2,2682,2005-09-14,exp
3,3,29239,2005-09-14,exp
4,4,46990,2005-09-14,exp
5,5,8617,2005-09-14,exp
6,6,64400,2005-09-14,exp
7,7,367965,2005-09-14,exp
8,8,11876,2005-09-14,exp
9,9,11285,2005-09-14,exp
10,10,0,2005-09-14,exp
11,11,11073,2005-09-14,exp
12,12,12261,2005-09-14,exp
13,13,12137,2005-09-14,exp
14,14,65802,2005-09-14,exp
15,15,70887,2005-09-14,exp
16,16,50614,2005-09-14,exp
17,17,15376,2005-09-14,exp
18,18,253286,2005-09-14,exp
19,19,0,2005-09-14,exp
20,20,0,2005-09-14,exp
21,21,38358,2005-09-14,exp
22,22,316,2005-09-14,exp
23,23,41087,2005-09-14,exp
24,24,5512,2005-09-14,exp
25,25,4744,2005-09-14,exp
26,26,47620,2005-09-14,exp
27,27,-109,2005-09-14,exp
28,28,22541,2005-09-14,exp
29,29,650,2005-09-14,exp
30,30,15329,2005-09-14,exp
31,31,16646,2005-09-14,exp
32,32,30518,2005-09-14,exp
33,33,93036,2005-09-14,exp
34,34,10929,2005-09-14,exp
35,35,13709,2005-09-14,exp
36,36,30265,2005-09-14,exp
37,37,186503,2005-09-14,exp
38,38,15054,2005-09-14,exp
39,39,0,2005-09-14,exp
40,40,498,2005-09-14,exp
41,41,218668,2005-09-14,exp
42,42,67521,2005-09-14,exp
43,43,1877,2005-09-14,exp
44,44,59504,2005-09-14,exp
45,45,18927,2005-09-14,exp
46,46,0,2005-09-14,exp
47,47,14028,2005-09-14,exp
48,48,4463,2005-09-14,exp
49,49,22401,2005-09-14,exp
50,50,17447,2005-09-14,exp
51,51,37042,2005-09-14,exp
52,52,61559,2005-09-14,exp
53,53,13465,2005-09-14,exp
54,54,41402,2005-09-14,exp
55,55,46224,2005-09-14,exp
56,56,1905,2005-09-14,exp
57,57,16386,2005-09-14,exp
58,58,175886,2005-09-14,exp
59,59,1587,2005-09-14,exp
60,60,400134,2005-09-14,exp
61,61,22848,2005-09-14,exp
62,62,70800,2005-09-14,exp
63,63,24987,2005-09-14,exp
64,64,28718,2005-09-14,exp
65,65,99,2005-09-14,exp
66,66,152519,2005-09-14,exp
67,67,2097,2005-09-14,exp
68,68,300,2005-09-14,exp
69,69,-190,2005-09-14,exp
70,70,18565,2005-09-14,exp
71,71,780,2005-09-14,exp
72,72,58267,2005-09-14,exp
73,73,9076,2005-09-14,exp
74,74,0,2005-09-14,exp
75,75,3048,2005-09-14,exp
76,76,14619,2005-09-14,exp
77,77,42838,2005-09-14,exp
78,78,291,2005-09-14,exp
79,79,28387,2005-09-14,exp
80,80,0,2005-09-14,exp
81,81,165254,2005-09-14,exp
82,82,23411,2005-09-14,exp
83,83,26324,2005-09-14,exp
84,84,131595,2005-09-14,exp
85,85,48909,2005-09-14,exp
86,86,130028,2005-09-14,exp
87,87,390,2005-09-14,exp
88,88,3826,2005-09-14,exp
89,89,81313,2005-09-14,exp
90,90,8583,2005-09-14,exp
91,91,138180,2005-09-14,exp
92,92,7524,2005-09-14,exp
93,93,-2000,2005-09-14,exp
94,94,880,2005-09-14,exp
95,95,45648,2005-09-14,exp
96,96,83725,2005-09-14,exp
97,97,3967,2005-09-14,exp
98,98,86009,2005-09-14,exp
99,99,18722,2005-09-14,exp
100,100,17973,2005-09-14,exp
101,101,672,2005-09-14,exp
102,102,-81,2005-09-14,exp
103,103,422069,2005-09-14,exp
104,104,44698,2005-09-14,exp
105,105,56685,2005-09-14,exp
106,106,5580,2005-09-14,exp
107,107,6108,2005-09-14,exp
108,108,713,2005-09-14,exp
109,109,171438,2005-09-14,exp
110,110,-103,2005-09-14,exp
111,111,105879,2005-09-14,exp
112,112,13244,2005-09-14,exp
113,113,135673,2005-09-14,exp
114,114,52128,2005-09-14,exp
115,115,19015,2005-09-14,exp
116,116,18199,2005-09-14,exp
117,117,326,2005-09-14,exp
118,118,14029,2005-09-14,exp
119,119,19660,2005-09-14,exp
120,120,50254,2005-09-14,exp
121,121,46004,2005-09-14,exp
122,122,0,2005-09-14,exp
123,123,0,2005-09-14,exp
124,124,304991,2005-09-14,exp
125,125,19115,2005-09-14,exp
126,126,0,2005-09-14,exp
127,127,110151,2005-09-14,exp
128,128,163736,2005-09-14,exp
129,129,3347,2005-09-14,exp
130,130,60521,2005-09-14,exp
131,131,4000,2005-09-14,exp
132,132,95,2005-09-14,exp
133,133,253454,2005-09-14,exp
134,134,227389,2005-09-14,exp
135,135,28452,2005-09-14,exp
136,136,10674,2005-09-14,exp
137,137,17444,2005-09-14,exp
138,138,7166,2005-09-14,exp
139,139,752,2005-09-14,exp
140,140,50801,2005-09-14,exp
141,141,0,2005-09-14,exp
142,142,1832,2005-09-14,exp
143,143,10131,2005-09-14,exp
144,144,12159,2005-09-14,exp
145,145,1199,2005-09-14,exp
146,146,4999,2005-09-14,exp
147,147,19269,2005-09-14,exp
148,148,197236,2005-09-14,exp
149,149,9168,2005-09-14,exp
150,150,-1100,2005-09-14,exp
151,151,86627,2005-09-14,exp
152,152,42444,2005-09-14,exp
153,153,208,2005-09-14,exp
154,154,208775,2005-09-14,exp
155,155,9014,2005-09-14,exp
156,156,23944,2005-09-14,exp
157,157,105420,2005-09-14,exp
158,158,196031,2005-09-14,exp
159,159,115785,2005-09-14,exp
160,160,12854,2005-09-14,exp
161,161,24357,2005-09-14,exp
162,162,390,2005-09-14,exp
163,163,1234,2005-09-14,exp
164,164,141223,2005-09-14,exp
165,165,21148,2005-09-14,exp
166,166,101640,2005-09-14,exp
167,167,6093,2005-09-14,exp
168,168,102349,2005-09-14,exp
169,169,72112,2005-09-14,exp
170,170,28040,2005-09-14,exp
171,171,37695,2005-09-14,exp
172,172,688,2005-09-14,exp
173,173,8567,2005-09-14,exp
174,174,-709,2005-09-14,exp
175,175,0,2005-09-14,exp
176,176,64617,2005-09-14,exp
177,177,6187,2005-09-14,exp
178,178,48860,2005-09-14,exp
179,179,16001,2005-09-14,exp
180,180,77883,2005-09-14,exp
181,181,12212,2005-09-14,exp
182,182,49608,2005-09-14,exp
183,183,56422,2005-09-14,exp
184,184,58024,2005-09-14,exp
185,185,10642,2005-09-14,exp
186,186,14483,2005-09-14,exp
187,187,2616,2005-09-14,exp
188,188,199436,2005-09-14,exp
189,189,0,2005-09-14,exp
190,190,21703,2005-09-14,exp
191,191,59901,2005-09-14,exp
192,192,19625,2005-09-14,exp
193,193,11386,2005-09-14,exp
194,194,14670,2005-09-14,exp
195,195,47790,2005-09-14,exp
196,196,36166,2005-09-14,exp
197,197,0,2005-09-14,exp
198,198,18553,2005-09-14,exp
199,199,412,2005-09-14,exp
200,200,29010,2005-09-14,exp
201,201,750,2005-09-14,exp
202,202,27123,2005-09-14,exp
203,203,13424,2005-09-14,exp
204,204,107314,2005-09-14,exp
205,205,226430,2005-09-14,exp
206,206,227,2005-09-14,exp
207,207,390,2005-09-14,exp
208,208,3088,2005-09-14,exp
209,209,81625,2005-09-14,exp
210,210,8872,2005-09-14,exp
211,211,105607,2005-09-14,exp
212,212,0,2005-09-14,exp
213,213,38257,2005-09-14,exp
214,214,28347,2005-09-14,exp
215,215,296573,2005-09-14,exp
216,216,390,2005-09-14,exp
217,217,-946,2005-09-14,exp
218,218,79278,2005-09-14,exp
219,219,89989,2005-09-14,exp
220,220,1424,2005-09-14,exp
221,221,105167,2005-09-14,exp
222,222,335196,2005-09-14,exp
223,223,291619,2005-09-14,exp
224,224,91653,2005-09-14,exp
225,225,52626,2005-09-14,exp
226,226,130370,2005-09-14,exp
227,227,3265,2005-09-14,exp
228,228,16455,2005-09-14,exp
229,229,49758,2005-09-14,exp
230,230,19154,2005-09-14,exp
231,231,35084,2005-09-14,exp
232,232,20235,2005-09-14,exp
233,233,102800,2005-09-14,exp
234,234,129801,2005-09-14,exp
235,235,58203,2005-09-14,exp
236,236,7988,2005-09-14,exp
237,237,127402,2005-09-14,exp
238,238,1440,2005-09-14,exp
239,239,234205,2005-09-14,exp
240,240,19346,2005-09-14,exp
241,241,21501,2005-09-14,exp
242,242,47174,2005-09-14,exp
243,243,26655,2005-09-14,exp
244,244,3139,2005-09-14,exp
245,245,142,2005-09-14,exp
246,246,19816,2005-09-14,exp
247,247,52874,2005-09-14,exp
248,248,37767,2005-09-14,exp
249,249,46140,2005-09-14,exp
250,250,35713,2005-09-14,exp
251,251,50867,2005-09-14,exp
252,252,29242,2005-09-14,exp
253,253,101551,2005-09-14,exp
254,254,70243,2005-09-14,exp
255,255,19532,2005-09-14,exp
256,256,27699,2005-09-14,exp
257,257,1154,2005-09-14,exp
258,258,8015,2005-09-14,exp
259,259,62170,2005-09-14,exp
260,260,210380,2005-09-14,exp
261,261,78331,2005-09-14,exp
262,262,49276,2005-09-14,exp
263,263,4473,2005-09-14,exp
264,264,2283,2005-09-14,exp
265,265,10115,2005-09-14,exp
266,266,6156,2005-09-14,exp
267,267,6974,2005-09-14,exp
268,268,89003,2005-09-14,exp
269,269,34871,2005-09-14,exp
270,270,13694,2005-09-14,exp
271,271,70003,2005-09-14,exp
272,272,1082,2005-09-14,exp
273,273,0,2005-09-14,exp
274,274,11253,2005-09-14,exp
275,275,0,2005-09-14,exp
276,276,68699,2005-09-14,exp
277,277,171,2005-09-14,exp
278,278,1156,2005-09-14,exp
279,279,50859,2005-09-14,exp
280,280,103109,2005-09-14,exp
281,281,1512,2005-09-14,exp
282,282,127543,2005-09-14,exp
283,283,163935,2005-09-14,exp
284,284,53494,2005-09-14,exp
285,285,195126,2005-09-14,exp
286,286,110346,2005-09-14,exp
287,287,60502,2005-09-14,exp
288,288,180641,2005-09-14,exp
289,289,70896,2005-09-14,exp
290,290,8751,2005-09-14,exp
291,291,898,2005-09-14,exp
292,292,0,2005-09-14,exp
293,293,1700,2005-09-14,exp
294,294,7015,2005-09-14,exp
295,295,0,2005-09-14,exp
296,296,194353,2005-09-14,exp
297,297,1686,2005-09-14,exp
298,298,143225,2005-09-14,exp
299,299,58983,2005-09-14,exp
300,300,0,2005-09-14,exp
301,301,99209,2005-09-14,exp
302,302,0,2005-09-14,exp
303,303,49941,2005-09-14,exp
304,304,11968,2005-09-14,exp
305,305,871,2005-09-14,exp
306,306,432,2005-09-14,exp
307,307,10483,2005-09-14,exp
308,308,0,2005-09-14,exp
309,309,9720,2005-09-14,exp
310,310,20847,2005-09-14,exp
311,311,3697,2005-09-14,exp
312,312,143301,2005-09-14,exp
313,313,10934,2005-09-14,exp
314,314,52439,2005-09-14,exp
315,315,55734,2005-09-14,exp
316,316,49507,2005-09-14,exp
317,317,47819,2005-09-14,exp
318,318,0,2005-09-14,exp
319,319,48522,2005-09-14,exp
320,320,-2,2005-09-14,exp
321,321,58362,2005-09-14,exp
322,322,172180,2005-09-14,exp
323,323,1399,2005-09-14,exp
324,324,26361,2005-09-14,exp
325,325,93029,2005-09-14,exp
326,326,0,2005-09-14,exp
327,327,650,2005-09-14,exp
328,328,24898,2005-09-14,exp
329,329,50396,2005-09-14,exp
330,330,99855,2005-09-14,exp
331,331,-179,2005-09-14,exp
332,332,9559,2005-09-14,exp
333,333,10540,2005-09-14,exp
334,334,0,2005-09-14,exp
335,335,20571,2005-09-14,exp
336,336,143464,2005-09-14,exp
337,337,156882,2005-09-14,exp
338,338,390,2005-09-14,exp
339,339,46512,2005-09-14,exp
340,340,882,2005-09-14,exp
341,341,92,2005-09-14,exp
342,342,5916,2005-09-14,exp
343,343,2393,2005-09-14,exp
344,344,274731,2005-09-14,exp
345,345,145403,2005-09-14,exp
346,346,3097,2005-09-14,exp
347,347,1370,2005-09-14,exp
348,348,47081,2005-09-14,exp
349,349,138119,2005-09-14,exp
350,350,17893,2005-09-14,exp
351,351,39128,2005-09-14,exp
352,352,-14386,2005-09-14,exp
353,353,0,2005-09-14,exp
354,354,77057,2005-09-14,exp
355,355,15899,2005-09-14,exp
356,356,27679,2005-09-14,exp
357,357,141315,2005-09-14,exp
358,358,194314,2005-09-14,exp
359,359,83755,2005-09-14,exp
360,360,49657,2005-09-14,exp
361,361,507726,2005-09-14,exp
362,362,71305,2005-09-14,exp
363,363,45734,2005-09-14,exp
364,364,0,2005-09-14,exp
365,365,761,2005-09-14,exp
366,366,-9,2005-09-14,exp
367,367,47166,2005-09-14,exp
368,368,2887,2005-09-14,exp
369,369,0,2005-09-14,exp
370,370,20631,2005-09-14,exp
371,371,83538,2005-09-14,exp
372,372,99,2005-09-14,exp
373,373,34302,2005-09-14,exp
374,374,22987,2005-09-14,exp
375,375,173267,2005-09-14,exp
376,376,19143,2005-09-14,exp
377,377,20518,2005-09-14,exp
378,378,10833,2005-09-14,exp
379,379,69937,2005-09-14,exp
380,380,20526,2005-09-14,exp
381,381,89055,2005-09-14,exp
382,382,1894,2005-09-14,exp
383,383,100594,2005-09-14,exp
384,384,2948,2005-09-14,exp
385,385,22619,2005-09-14,exp
386,386,338106,2005-09-14,exp
387,387,0,2005-09-14,exp
388,388,63144,2005-09-14,exp
389,389,153249,2005-09-14,exp
390,390,1131,2005-09-14,exp
391,391,0,2005-09-14,exp
392,392,-1312,2005-09-14,exp
393,393,103797,2005-09-14,exp
394,394,20110,2005-09-14,exp
395,395,38000,2005-09-14,exp
396,396,142428,2005-09-14,exp
397,397,40810,2005-09-14,exp
398,398,0,2005-09-14,exp
399,399,104701,2005-09-14,exp
400,400,120298,2005-09-14,exp
401,401,156362,2005-09-14,exp
402,402,41322,2005-09-14,exp
403,403,1464,2005-09-14,exp
404,404,27879,2005-09-14,exp
405,405,160432,2005-09-14,exp
406,406,3858,2005-09-14,exp
407,407,26476,2005-09-14,exp
408,408,507062,2005-09-14,exp
409,409,55607,2005-09-14,exp
410,410,168382,2005-09-14,exp
411,411,29332,2005-09-14,exp
412,412,190,2005-09-14,exp
413,413,0,2005-09-14,exp
414,414,13668,2005-09-14,exp
415,415,14867,2005-09-14,exp
416,416,22500,2005-09-14,exp
417,417,7184,2005-09-14,exp
418,418,14811,2005-09-14,exp
419,419,44338,2005-09-14,exp
420,420,0,2005-09-14,exp
421,421,25265,2005-09-14,exp
422,422,169661,2005-09-14,exp
423,423,10237,2005-09-14,exp
424,424,104978,2005-09-14,exp
425,425,192586,2005-09-14,exp
426,426,11262,2005-09-14,exp
427,427,9551,2005-09-14,exp
428,428,199,2005-09-14,exp
429,429,70119,2005-09-14,exp
430,430,212601,2005-09-14,exp
431,431,91894,2005-09-14,exp
432,432,304867,2005-09-14,exp
433,433,48123,2005-09-14,exp
434,434,159760,2005-09-14,exp
435,435,9210,2005-09-14,exp
436,436,234752,2005-09-14,exp
437,437,14072,2005-09-14,exp
438,438,61807,2005-09-14,exp
439,439,51044,2005-09-14,exp
440,440,77024,2005-09-14,exp
441,441,350,2005-09-14,exp
442,442,83831,2005-09-14,exp
443,443,0,2005-09-14,exp
444,444,122923,2005-09-14,exp
445,445,246135,2005-09-14,exp
446,446,37304,2005-09-14,exp
447,447,146433,2005-09-14,exp
448,448,46122,2005-09-14,exp
449,449,38564,2005-09-14,exp
450,450,96304,2005-09-14,exp
451,451,0,2005-09-14,exp
452,452,467150,2005-09-14,exp
453,453,255691,2005-09-14,exp
454,454,156786,2005-09-14,exp
455,455,78129,2005-09-14,exp
456,456,40034,2005-09-14,exp
457,457,71034,2005-09-14,exp
458,458,23974,2005-09-14,exp
459,459,819,2005-09-14,exp
460,460,50927,2005-09-14,exp
461,461,152510,2005-09-14,exp
462,462,1689,2005-09-14,exp
463,463,20807,2005-09-14,exp
464,464,30141,2005-09-14,exp
465,465,0,2005-09-14,exp
466,466,208459,2005-09-14,exp
467,467,212795,2005-09-14,exp
468,468,28114,2005-09-14,exp
469,469,59372,2005-09-14,exp
470,470,6160,2005-09-14,exp
471,471,355215,2005-09-14,exp
472,472,366193,2005-09-14,exp
473,473,2927,2005-09-14,exp
474,474,29295,2005-09-14,exp
475,475,4158,2005-09-14,exp
476,476,27199,2005-09-14,exp
