account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
1,20000,2,2,1,24,3791,689,2,1
2,120000,2,2,2,26,14395,5000,2,1
3,90000,2,2,2,34,72414,9500,0,0
4,50000,2,2,1,37,184344,6388,0,0
5,50000,1,2,1,57,100722,57049,0,0
6,50000,1,1,2,37,173714,5272,0,0
7,500000,1,1,2,29,2356630,125759,0,0
8,100000,2,2,2,23,1610,4411,-1,0
9,140000,2,3,1,28,53927,3432,0,0
10,20000,1,3,2,35,26919,14129,-2,0
11,200000,2,3,2,34,23394,4166,0,0
12,260000,2,1,2,51,76108,44490,-1,0
13,630000,2,2,2,41,28870,22370,0,0
14,70000,1,2,2,30,272883,7500,2,1
15,250000,1,1,2,29,302704,15000,0,0
16,50000,2,3,3,23,145802,6200,2,0
17,20000,1,1,2,24,90785,3150,0,1
18,320000,1,1,1,49,712728,351539,0,0
19,360000,2,1,1,49,0,0,-2,0
20,180000,2,1,2,29,0,0,-2,0
21,130000,2,3,2,39,85525,39231,0,0
22,120000,2,2,1,39,1580,1264,-1,1
23,70000,2,2,2,26,224388,9003,0,1
24,450000,2,1,1,40,21453,3161,-2,1
25,90000,1,1,2,23,27120,10643,0,0
26,50000,1,3,2,23,166675,5918,0,0
27,60000,1,1,2,27,-285,2500,-2,1
28,50000,2,3,2,30,89727,5812,0,0
29,50000,2,3,1,47,39558,36152,-1,0
30,50000,1,1,2,26,81753,5100,0,0
31,230000,2,1,2,27,97100,80219,-1,0
32,50000,1,2,2,33,121351,5216,0,1
33,100000,1,1,2,32,402201,15721,0,0
34,500000,2,2,1,54,114815,154350,-2,0
35,500000,1,1,1,58,44609,40419,-2,0
36,160000,1,1,2,30,-4953,2149,-1,0
37,280000,1,2,1,40,883474,33897,0,0
38,60000,2,2,2,22,17225,51849,0,0
39,50000,1,1,2,25,780,0,-1,1
40,280000,1,1,2,31,51145,28282,-1,0
41,360000,1,1,2,33,1432083,233840,0,0
42,70000,2,1,2,25,325335,16342,0,0
43,10000,1,2,2,22,20884,5727,0,0
44,140000,2,2,1,37,325630,17000,0,0
45,40000,2,1,2,30,128258,10000,0,0
46,210000,1,1,2,29,0,0,-2,1
47,20000,2,1,2,22,65300,17075,0,1
48,150000,2,5,2,46,5374,1170,0,1
49,380000,1,2,2,32,92414,71792,-1,0
50,20000,1,1,2,24,98363,4928,0,0
51,70000,1,3,2,42,191970,8100,2,1
52,100000,2,3,3,43,203626,7606,0,0
53,310000,2,2,1,49,30660,22793,-2,0
54,180000,2,1,2,25,217749,8946,2,0
55,150000,2,1,2,29,130527,11267,0,0
56,500000,2,1,1,45,6483,2843,-2,0
57,180000,2,3,1,34,39018,20679,0,0
58,180000,2,2,1,34,776476,25979,0,0
59,200000,2,1,2,34,5160,1900,3,0
60,400000,2,2,1,29,1884006,92029,0,0
61,500000,2,3,1,28,86851,7300,0,1
62,70000,1,2,1,39,173442,8095,0,0
63,50000,1,1,2,29,132687,6125,2,1
64,50000,2,2,1,46,29166,0,0,1
65,130000,2,2,1,51,2353,2353,-1,0
66,200000,1,1,1,57,317117,9522,-2,1
67,10000,1,2,1,56,20755,710,2,1
68,210000,2,1,2,30,8289,8898,-1,0
69,130000,2,3,2,29,8091,41379,-2,0
70,20000,1,5,2,22,69761,3700,0,0
71,80000,1,1,2,31,1560,1950,-1,0
72,320000,1,2,2,29,303885,11300,2,1
73,200000,2,2,1,32,17349,13694,-1,0
74,290000,2,1,2,37,5514,5514,-2,0
75,340000,1,1,2,32,139151,136284,-1,0
76,20000,1,2,2,24,86709,2740,0,0
77,50000,1,3,2,25,102568,4599,0,0
78,300000,2,1,1,45,1455,1455,-1,0
79,30000,2,2,2,22,120799,6725,0,1
80,240000,2,2,2,44,0,0,-2,1
81,470000,2,3,3,33,449569,15526,0,0
82,360000,2,1,2,26,271492,156559,0,0
