account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
1,20000,2,2,1,24,0,0,-2,1
2,120000,2,2,2,26,3261,2000,2,1
3,90000,2,2,2,34,15549,5000,0,0
4,50000,2,2,1,37,29547,1000,0,0
5,50000,1,2,1,57,19131,679,0,0
6,50000,1,1,2,37,20024,800,0,0
7,500000,1,1,2,29,473944,13770,0,0
8,100000,2,2,2,23,567,1542,-1,0
9,140000,2,3,1,28,3719,1000,0,0
10,20000,1,3,2,35,13912,0,-1,0
11,200000,2,3,2,34,3731,66,-1,0
12,260000,2,1,2,51,13668,3640,2,0
13,630000,2,2,2,41,2870,0,-1,0
14,70000,1,2,2,30,36894,0,2,1
15,250000,1,1,2,29,55512,3000,0,0
16,50000,2,3,3,23,30211,1100,0,0
17,20000,1,1,2,24,19104,0,2,1
18,320000,1,1,1,49,195599,50000,-1,0
19,360000,2,1,1,49,0,0,-2,0
20,180000,2,1,2,29,0,0,-2,0
21,130000,2,3,2,39,930,33764,-1,0
22,120000,2,2,1,39,316,0,-1,1
23,70000,2,2,2,26,46012,1820,2,1
24,450000,2,1,1,40,0,1128,-2,1
25,90000,1,1,2,23,8292,2000,0,0
26,50000,1,3,2,23,30046,997,0,0
27,60000,1,1,2,27,-189,1000,-1,1
28,50000,2,3,2,30,19617,1012,0,0
29,50000,2,3,1,47,257,0,-1,0
30,50000,1,1,2,26,11400,0,0,0
31,230000,2,1,2,27,36923,0,-1,0
32,50000,1,2,2,33,23680,716,0,1
33,100000,1,1,2,32,75589,2504,0,0
34,500000,2,2,1,54,8981,51582,-2,0
35,500000,1,1,1,58,5293,768,-2,0
36,160000,1,1,2,30,-1884,0,-1,0
37,280000,1,2,1,40,177413,6737,0,0
38,60000,2,2,2,22,18660,617,-1,0
39,50000,1,1,2,25,0,0,-2,1
40,280000,1,1,2,31,9477,781,-1,0
41,360000,1,1,2,33,179224,4000,0,0
42,70000,2,1,2,25,65970,2500,0,0
43,10000,1,2,2,22,4451,500,0,0
44,140000,2,2,1,37,69802,3000,0,0
45,40000,2,1,2,30,29197,0,0,0
46,210000,1,1,2,29,0,0,-2,1
47,20000,2,1,2,22,0,0,0,1
48,150000,2,5,2,46,0,0,-2,1
49,380000,1,2,2,32,11873,8251,-1,0
50,20000,1,1,2,24,20063,1069,0,0
51,70000,1,3,2,42,39362,1500,0,1
52,100000,2,3,3,43,33258,1000,0,0
53,310000,2,2,1,49,464,0,-2,0
54,180000,2,1,2,25,45319,1622,0,0
55,150000,2,1,2,29,16540,5000,0,0
