tid,account,amount,date,type
1,1,0,2015-05-14,exp
2,2,3455,2015-05-14,exp
3,3,14948,2015-05-14,exp
4,4,28959,2015-05-14,exp
5,5,19146,2015-05-14,exp
6,6,19619,2015-05-14,exp
7,7,483003,2015-05-14,exp
8,8,-159,2015-05-14,exp
9,9,11793,2015-05-14,exp
10,10,13007,2015-05-14,exp
11,11,1828,2015-05-14,exp
12,12,22287,2015-05-14,exp
13,13,6500,2015-05-14,exp
14,14,36137,2015-05-14,exp
15,15,56875,2015-05-14,exp
16,16,29531,2015-05-14,exp
17,17,17905,2015-05-14,exp
18,18,5856,2015-05-14,exp
19,19,0,2015-05-14,exp
20,20,0,2015-05-14,exp
21,21,11802,2015-05-14,exp
22,22,632,2015-05-14,exp
23,23,46905,2015-05-14,exp
24,24,0,2015-05-14,exp
25,25,6360,2015-05-14,exp
26,26,29829,2015-05-14,exp
27,27,127,2015-05-14,exp
28,28,18931,2015-05-14,exp
29,29,30430,2015-05-14,exp
30,30,18375,2015-05-14,exp
31,31,14307,2015-05-14,exp
32,32,23217,2015-05-14,exp
33,33,78703,2015-05-14,exp
34,34,71439,2015-05-14,exp
35,35,0,2015-05-14,exp
36,36,-1488,2015-05-14,exp
37,37,173901,2015-05-14,exp
38,38,-28335,2015-05-14,exp
39,39,0,2015-05-14,exp
40,40,17976,2015-05-14,exp
41,41,195969,2015-05-14,exp
42,42,64718,2015-05-14,exp
43,43,3670,2015-05-14,exp
44,44,67079,2015-05-14,exp
45,45,26636,2015-05-14,exp
46,46,0,2015-05-14,exp
47,47,16675,2015-05-14,exp
48,48,0,2015-05-14,exp
49,49,11849,2015-05-14,exp
50,50,20480,2015-05-14,exp
51,51,38659,2015-05-14,exp
52,52,35762,2015-05-14,exp
53,53,3544,2015-05-14,exp
54,54,44420,2015-05-14,exp
55,55,21042,2015-05-14,exp
56,56,151,2015-05-14,exp
57,57,-679,2015-05-14,exp
58,58,132202,2015-05-14,exp
59,59,700,2015-05-14,exp
60,60,356656,2015-05-14,exp
61,61,13827,2015-05-14,exp
62,62,14096,2015-05-14,exp
63,63,27667,2015-05-14,exp
64,64,0,2015-05-14,exp
65,65,2353,2015-05-14,exp
66,66,8198,2015-05-14,exp
67,67,4196,2015-05-14,exp
68,68,300,2015-05-14,exp
69,69,10161,2015-05-14,exp
70,70,11205,2015-05-14,exp
71,71,390,2015-05-14,exp
72,72,62307,2015-05-14,exp
73,73,3848,2015-05-14,exp
74,74,2359,2015-05-14,exp
75,75,80153,2015-05-14,exp
76,76,17332,2015-05-14,exp
77,77,9590,2015-05-14,exp
78,78,291,2015-05-14,exp
79,79,26446,2015-05-14,exp
80,80,0,2015-05-14,exp
81,81,29271,2015-05-14,exp
82,82,180000,2015-05-14,exp
83,83,19899,2015-05-14,exp
84,84,104990,2015-05-14,exp
85,85,19342,2015-05-14,exp
86,86,118407,2015-05-14,exp
87,87,390,2015-05-14,exp
88,88,7072,2015-05-14,exp
89,89,7095,2015-05-14,exp
90,90,12314,2015-05-14,exp
91,91,147124,2015-05-14,exp
92,92,0,2015-05-14,exp
93,93,0,2015-05-14,exp
94,94,0,2015-05-14,exp
95,95,19209,2015-05-14,exp
96,96,30942,2015-05-14,exp
97,97,26370,2015-05-14,exp
98,98,87725,2015-05-14,exp
99,99,8866,2015-05-14,exp
100,100,17928,2015-05-14,exp
101,101,100,2015-05-14,exp
102,102,33564,2015-05-14,exp
103,103,471145,2015-05-14,exp
104,104,23477,2015-05-14,exp
105,105,55447,2015-05-14,exp
106,106,0,2015-05-14,exp
107,107,1150,2015-05-14,exp
108,108,1150,2015-05-14,exp
109,109,44127,2015-05-14,exp
110,110,-103,2015-05-14,exp
111,111,106491,2015-05-14,exp
112,112,16671,2015-05-14,exp
113,113,152174,2015-05-14,exp
114,114,60100,2015-05-14,exp
115,115,20311,2015-05-14,exp
116,116,20692,2015-05-14,exp
117,117,476,2015-05-14,exp
118,118,17629,2015-05-14,exp
119,119,14837,2015-05-14,exp
120,120,1307,2015-05-14,exp
121,121,49318,2015-05-14,exp
122,122,0,2015-05-14,exp
123,123,0,2015-05-14,exp
124,124,246491,2015-05-14,exp
125,125,19717,2015-05-14,exp
126,126,0,2015-05-14,exp
127,127,103146,2015-05-14,exp
128,128,97753,2015-05-14,exp
129,129,6375,2015-05-14,exp
130,130,29510,2015-05-14,exp
131,131,13744,2015-05-14,exp
132,132,360,2015-05-14,exp
133,133,210606,2015-05-14,exp
134,134,227775,2015-05-14,exp
135,135,17603,2015-05-14,exp
136,136,14158,2015-05-14,exp
137,137,27200,2015-05-14,exp
138,138,4404,2015-05-14,exp
