tid,account,amount,date,type
1,1,0,2005-06-14,exp
2,2,3272,2005-06-14,exp
3,3,14331,2005-06-14,exp
4,4,28314,2005-06-14,exp
5,5,20940,2005-06-14,exp
6,6,19394,2005-06-14,exp
7,7,542653,2005-06-14,exp
8,8,221,2005-06-14,exp
9,9,12211,2005-06-14,exp
10,10,0,2005-06-14,exp
11,11,2513,2005-06-14,exp
12,12,8517,2005-06-14,exp
13,13,6500,2005-06-14,exp
14,14,66782,2005-06-14,exp
15,15,59696,2005-06-14,exp
16,16,28771,2005-06-14,exp
17,17,18338,2005-06-14,exp
18,18,70074,2005-06-14,exp
19,19,0,2005-06-14,exp
20,20,0,2005-06-14,exp
21,21,20616,2005-06-14,exp
22,22,0,2005-06-14,exp
23,23,44006,2005-06-14,exp
24,24,560,2005-06-14,exp
25,25,5398,2005-06-14,exp
26,26,28967,2005-06-14,exp
27,27,-57,2005-06-14,exp
28,28,17878,2005-06-14,exp
29,29,2040,2005-06-14,exp
30,30,17907,2005-06-14,exp
31,31,15339,2005-06-14,exp
32,32,22734,2005-06-14,exp
33,33,80958,2005-06-14,exp
34,34,7521,2005-06-14,exp
35,35,3180,2005-06-14,exp
36,36,-923,2005-06-14,exp
37,37,170410,2005-06-14,exp
38,38,6026,2005-06-14,exp
39,39,0,2005-06-14,exp
40,40,9976,2005-06-14,exp
41,41,628699,2005-06-14,exp
42,42,63699,2005-06-14,exp
43,43,3576,2005-06-14,exp
44,44,64280,2005-06-14,exp
45,45,25209,2005-06-14,exp
46,46,0,2005-06-14,exp
47,47,16341,2005-06-14,exp
48,48,1170,2005-06-14,exp
49,49,32018,2005-06-14,exp
50,50,19865,2005-06-14,exp
51,51,39423,2005-06-14,exp
52,52,39619,2005-06-14,exp
53,53,11185,2005-06-14,exp
54,54,43510,2005-06-14,exp
55,55,26518,2005-06-14,exp
56,56,0,2005-06-14,exp
57,57,7142,2005-06-14,exp
58,58,168608,2005-06-14,exp
59,59,1166,2005-06-14,exp
60,60,360199,2005-06-14,exp
61,61,14937,2005-06-14,exp
62,62,16518,2005-06-14,exp
63,63,25865,2005-06-14,exp
64,64,0,2005-06-14,exp
65,65,0,2005-06-14,exp
66,66,8174,2005-06-14,exp
67,67,4062,2005-06-14,exp
68,68,2280,2005-06-14,exp
69,69,10311,2005-06-14,exp
70,70,18085,2005-06-14,exp
71,71,390,2005-06-14,exp
72,72,58622,2005-06-14,exp
73,73,5247,2005-06-14,exp
74,74,0,2005-06-14,exp
75,75,4291,2005-06-14,exp
76,76,16976,2005-06-14,exp
77,77,9636,2005-06-14,exp
78,78,291,2005-06-14,exp
79,79,28004,2005-06-14,exp
80,80,0,2005-06-14,exp
81,81,69923,2005-06-14,exp
82,82,33100,2005-06-14,exp
83,83,21993,2005-06-14,exp
84,84,104430,2005-06-14,exp
85,85,20414,2005-06-14,exp
86,86,118418,2005-06-14,exp
87,87,390,2005-06-14,exp
88,88,8604,2005-06-14,exp
89,89,1330,2005-06-14,exp
90,90,10488,2005-06-14,exp
91,91,144098,2005-06-14,exp
92,92,3868,2005-06-14,exp
93,93,0,2005-06-14,exp
94,94,840,2005-06-14,exp
95,95,19595,2005-06-14,exp
96,96,35565,2005-06-14,exp
97,97,6451,2005-06-14,exp
98,98,89775,2005-06-14,exp
99,99,13150,2005-06-14,exp
100,100,18240,2005-06-14,exp
101,101,415,2005-06-14,exp
102,102,32891,2005-06-14,exp
103,103,487066,2005-06-14,exp
104,104,32496,2005-06-14,exp
105,105,60218,2005-06-14,exp
106,106,0,2005-06-14,exp
107,107,3319,2005-06-14,exp
108,108,867,2005-06-14,exp
109,109,120483,2005-06-14,exp
110,110,-103,2005-06-14,exp
111,111,105896,2005-06-14,exp
112,112,15928,2005-06-14,exp
113,113,144401,2005-06-14,exp
114,114,56076,2005-06-14,exp
115,115,20274,2005-06-14,exp
116,116,21319,2005-06-14,exp
117,117,5676,2005-06-14,exp
118,118,17055,2005-06-14,exp
119,119,7839,2005-06-14,exp
120,120,52479,2005-06-14,exp
121,121,48851,2005-06-14,exp
122,122,0,2005-06-14,exp
123,123,0,2005-06-14,exp
124,124,258610,2005-06-14,exp
125,125,19378,2005-06-14,exp
126,126,0,2005-06-14,exp
127,127,100914,2005-06-14,exp
128,128,95766,2005-06-14,exp
129,129,5347,2005-06-14,exp
130,130,28853,2005-06-14,exp
131,131,-27,2005-06-14,exp
132,132,3164,2005-06-14,exp
133,133,220951,2005-06-14,exp
134,134,227587,2005-06-14,exp
135,135,25350,2005-06-14,exp
136,136,13269,2005-06-14,exp
137,137,24614,2005-06-14,exp
138,138,9189,2005-06-14,exp
139,139,0,2005-06-14,exp
140,140,19430,2005-06-14,exp
141,141,0,2005-06-14,exp
142,142,332,2005-06-14,exp
143,143,19996,2005-06-14,exp
144,144,10000,2005-06-14,exp
145,145,2340,2005-06-14,exp
146,146,9195,2005-06-14,exp
