account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
1,20000,2,2,1,24,0,0,-2,1
2,120000,2,2,2,26,6716,2000,0,1
3,90000,2,2,2,34,30497,6000,0,0
4,50000,2,2,1,37,58506,2069,0,0
5,50000,1,2,1,57,38277,1368,0,0
6,50000,1,1,2,37,39643,1800,0,0
7,500000,1,1,2,29,956947,27520,0,0
8,100000,2,2,2,23,408,3229,0,0
9,140000,2,3,1,28,15512,2000,0,0
10,20000,1,3,2,35,26919,1122,-1,0
11,200000,2,3,2,34,5559,3804,0,0
12,260000,2,1,2,51,35955,3640,-1,0
13,630000,2,2,2,41,9370,2870,-1,0
14,70000,1,2,2,30,73031,1500,0,1
15,250000,1,1,2,29,112387,6000,0,0
16,50000,2,3,3,23,59742,2400,0,0
17,20000,1,1,2,24,37009,1650,2,1
18,320000,1,1,1,49,201455,245599,-1,0
19,360000,2,1,1,49,0,0,-2,0
20,180000,2,1,2,29,0,0,-2,0
21,130000,2,3,2,39,12732,34694,0,0
22,120000,2,2,1,39,948,316,-1,1
23,70000,2,2,2,26,92917,1820,2,1
24,450000,2,1,1,40,0,1128,-2,1
25,90000,1,1,2,23,14652,4045,0,0
26,50000,1,3,2,23,59875,2059,0,0
27,60000,1,1,2,27,-62,1000,-1,1
28,50000,2,3,2,30,38548,2012,0,0
29,50000,2,3,1,47,30687,257,-1,0
30,50000,1,1,2,26,29775,1600,0,0
31,230000,2,1,2,27,51230,37292,-1,0
32,50000,1,2,2,33,46897,1716,0,1
33,100000,1,1,2,32,154292,5704,0,0
34,500000,2,2,1,54,80420,52563,-2,0
35,500000,1,1,1,58,5293,6061,-2,0
36,160000,1,1,2,30,-3372,792,-2,0
37,280000,1,2,1,40,351314,13137,0,0
38,60000,2,2,2,22,-9675,48288,0,0
39,50000,1,1,2,25,0,0,-2,1
40,280000,1,1,2,31,27453,10306,0,0
41,360000,1,1,2,33,375193,32000,0,0
42,70000,2,1,2,25,130688,5300,0,0
43,10000,1,2,2,22,8121,1500,0,0
44,140000,2,2,1,37,136881,7000,0,0
45,40000,2,1,2,30,55833,3000,0,0
46,210000,1,1,2,29,0,0,-2,1
47,20000,2,1,2,22,16675,0,0,1
48,150000,2,5,2,46,0,0,0,1
49,380000,1,2,2,32,23722,20126,-1,0
50,20000,1,1,2,24,40543,1981,0,0
51,70000,1,3,2,42,78021,3000,2,1
52,100000,2,3,3,43,69020,2500,0,0
53,310000,2,2,1,49,4008,464,-2,0
54,180000,2,1,2,25,89739,3412,0,0
55,150000,2,1,2,29,37582,7000,0,0
56,500000,2,1,1,45,2681,2530,-2,0
57,180000,2,3,1,34,7642,11000,-1,0
58,180000,2,2,1,34,262120,8616,0,0
59,200000,2,1,2,34,2114,1200,2,0
60,400000,2,2,1,29,720745,35000,0,0
61,500000,2,3,1,28,29398,4000,0,1
62,70000,1,2,1,39,14926,3000,0,0
63,50000,1,1,2,29,55931,1200,2,1
64,50000,2,2,1,46,0,0,-2,1
65,130000,2,2,1,51,2353,0,-1,0
66,200000,1,1,1,57,16116,1000,2,1
67,10000,1,2,1,56,8522,360,0,1
68,210000,2,1,2,30,4550,5159,-1,0
69,130000,2,3,2,29,17480,21218,2,0
70,20000,1,5,2,22,17187,1000,0,0
71,80000,1,1,2,31,780,780,-1,0
72,320000,1,2,2,29,125833,4000,2,1
73,200000,2,2,1,32,6999,4560,2,0
74,290000,2,1,2,37,2359,0,-1,0
75,340000,1,1,2,32,105973,27965,-1,0
76,20000,1,2,2,24,35875,1500,0,0
77,50000,1,3,2,25,19620,2000,0,0
78,300000,2,1,1,45,582,582,-1,0
79,30000,2,2,2,22,32857,1765,0,1
80,240000,2,2,2,44,0,0,-2,1
81,470000,2,3,3,33,59160,4000,0,0
82,360000,2,1,2,26,180196,3159,0,0
83,60000,1,3,2,30,39670,1140,0,1
84,400000,2,2,1,44,199048,6000,0,0
85,50000,2,3,2,49,38824,1675,0,0
86,160000,1,2,2,33,238825,9300,0,0
87,360000,2,1,1,45,780,780,-1,1
88,160000,2,2,2,32,7838,3069,0,0
89,130000,2,1,1,35,8285,3280,-1,0
90,20000,1,3,2,44,24284,1500,0,0
91,200000,1,1,1,53,296655,10000,2,1
92,280000,2,1,2,39,0,0,0,0
93,100000,2,1,2,27,0,0,-2,0
94,160000,2,2,1,37,0,7736,-1,0
95,60000,2,2,2,23,38532,1651,0,0
96,90000,1,2,2,35,61777,2247,0,0
97,360000,1,1,1,43,36326,68978,-1,0
98,150000,1,1,2,27,128513,2498,0,0
99,50000,2,3,1,22,16765,518,0,0
100,20000,1,2,1,38,18078,150,0,1
101,140000,1,1,2,32,1530,1430,-2,0
102,380000,2,1,2,30,67620,6250,0,0
103,480000,1,1,1,63,941106,42200,2,0
104,50000,2,3,2,22,47571,1899,0,1
105,60000,2,2,2,26,110752,6000,2,0
106,70000,2,2,2,24,26529,28529,-2,0
107,80000,2,2,1,36,2300,2185,-1,0
108,350000,1,1,2,52,6413,10274,-1,0
109,130000,1,2,2,38,170695,138637,-1,0
110,360000,1,2,1,35,-206,0,-2,0
111,330000,2,1,1,31,213780,15794,0,0
112,50000,1,3,1,47,34064,2000,0,0
113,280000,1,2,1,41,301589,5000,2,0
114,100000,2,1,2,24,119813,5033,0,0
115,50000,1,2,2,41,40268,1408,0,0
116,30000,1,1,2,24,41893,2000,3,1
117,240000,1,1,2,28,802,852,-1,0
118,80000,1,2,2,26,35815,2000,0,1
119,400000,1,2,1,34,22796,13671,-1,0
120,240000,2,2,2,38,2510,1766,-1,0
121,50000,1,3,2,37,100461,2800,2,1
122,450000,1,1,1,40,0,0,-2,1
123,110000,2,1,1,48,0,0,-2,0
124,310000,2,2,1,35,445380,12820,0,1
125,20000,1,1,2,27,35347,313,0,0
126,20000,1,2,2,23,0,0,-2,0
127,200000,1,3,2,52,208139,7453,0,0
128,180000,1,1,1,36,193680,3217,0,1
129,50000,1,2,1,51,13452,1334,0,1
130,60000,1,3,1,55,56057,2600,0,0
131,30000,2,1,2,23,19650,8935,-1,0
132,240000,1,1,2,41,2097,2661,0,0
133,420000,1,2,1,34,398714,18579,0,0
134,330000,1,3,1,46,455978,16591,0,0
135,30000,2,2,2,22,16823,1560,0,0
136,240000,1,2,1,34,28049,327,2,0
137,150000,1,1,2,27,57429,8500,0,0
138,210000,2,2,1,33,10112,2546,0,0
139,50000,2,3,1,51,0,0,-2,1
140,50000,1,1,2,24,38370,3000,0,0
141,240000,1,1,2,47,0,0,-2,1
142,180000,1,2,2,28,832,4332,-1,0
143,50000,1,2,2,23,37944,1400,0,0
144,170000,1,2,2,29,25829,25863,-2,0
145,20000,1,1,2,29,7041,669,0,0
146,50000,1,1,2,28,20762,1100,0,0
147,170000,2,2,2,27,27018,182,0,1
148,200000,1,1,2,34,192108,13500,0,0
149,80000,2,2,1,23,22157,2092,0,0
150,260000,2,1,1,60,1838,1000,-1,0
151,140000,1,2,1,32,113570,4702,2,0
152,80000,1,1,2,25,73777,16000,0,0
153,350000,1,1,2,41,0,0,-1,0
154,280000,2,2,1,56,346456,13321,0,0
155,30000,2,3,2,26,27290,3000,0,0
156,140000,1,1,1,34,95785,8504,0,0
157,200000,2,1,2,37,186536,8560,0,0
